artifact_name,strategy,num_trades,mean_implementation_shortfall,mean_realized_pnl,std_implementation_shortfall,std_realized_pnl,limit_decision_rate,passive_fill_rate,cleanup_rate,market_entry_rate,cancel_rate,toxic_fill_rate_among_passive,toxic_fill_rate_overall,avg_favorable_prob,avg_toxic_prob,avg_utility,threshold,selection_split,artifact_base_net,artifact_meta
standardized_deephit_gru,model,10000,-3983500.0,3475000.0,7644882.454949192,19425611.31599089,0.2835,0.2727,0.0108,0.0,0.7165,0.16611661166116612,0.0453,0.6344340885926165,0.34511920078036695,0.28931488781224957,0.35,val,/ocean/projects/cis260122p/shared/artifacts/baseline/standardized_deephit_gru_base_net.pt,/ocean/projects/cis260122p/shared/artifacts/baseline/standardized_deephit_gru_meta.pt
standardized_deephit_gru,training_prior,10000,-10019000.0,9022500.0,6537173.624740282,29078032.83838282,1.0,0.967,0.033,0.0,0.0,0.22471561530506723,0.2173,0.7876046511627908,0.17869767441860465,0.6089069767441859,0.35,val,/ocean/projects/cis260122p/shared/artifacts/baseline/standardized_deephit_gru_base_net.pt,/ocean/projects/cis260122p/shared/artifacts/baseline/standardized_deephit_gru_meta.pt
standardized_deephit_gru,always_limit,10000,-10019000.0,9022500.0,6537173.624740282,29078032.83838282,1.0,0.967,0.033,0.0,0.0,0.22471561530506723,0.2173,0.6344340885926165,0.34511920078036695,inf,0.4,val,/ocean/projects/cis260122p/shared/artifacts/baseline/standardized_deephit_gru_base_net.pt,/ocean/projects/cis260122p/shared/artifacts/baseline/standardized_deephit_gru_meta.pt
standardized_deephit_gru,always_market,10000,10777000.0,-10777000.0,5193387.237632102,5193387.237632102,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-inf,0.4,val,/ocean/projects/cis260122p/shared/artifacts/baseline/standardized_deephit_gru_base_net.pt,/ocean/projects/cis260122p/shared/artifacts/baseline/standardized_deephit_gru_meta.pt
standardized_deephit_gru,model,10000,-1757500.0,1545000.0,5939166.082034869,13362932.874184974,0.1021,0.0988,0.0033,0.0,0.8979,0.13765182186234817,0.0136,0.6344340885926165,0.34511920078036695,0.28931488781224957,0.4,val,/ocean/projects/cis260122p/shared/artifacts/baseline/standardized_deephit_gru_base_net.pt,/ocean/projects/cis260122p/shared/artifacts/baseline/standardized_deephit_gru_meta.pt
standardized_deephit_gru,training_prior,10000,-10019000.0,9022500.0,6537173.624740282,29078032.83838282,1.0,0.967,0.033,0.0,0.0,0.22471561530506723,0.2173,0.7876046511627908,0.17869767441860465,0.6089069767441859,0.4,val,/ocean/projects/cis260122p/shared/artifacts/baseline/standardized_deephit_gru_base_net.pt,/ocean/projects/cis260122p/shared/artifacts/baseline/standardized_deephit_gru_meta.pt
standardized_deephit_gru,always_limit,10000,-10019000.0,9022500.0,6537173.624740282,29078032.83838282,1.0,0.967,0.033,0.0,0.0,0.22471561530506723,0.2173,0.6344340885926165,0.34511920078036695,inf,0.5,val,/ocean/projects/cis260122p/shared/artifacts/baseline/standardized_deephit_gru_base_net.pt,/ocean/projects/cis260122p/shared/artifacts/baseline/standardized_deephit_gru_meta.pt
standardized_deephit_gru,always_market,10000,10777000.0,-10777000.0,5193387.237632102,5193387.237632102,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-inf,0.5,val,/ocean/projects/cis260122p/shared/artifacts/baseline/standardized_deephit_gru_base_net.pt,/ocean/projects/cis260122p/shared/artifacts/baseline/standardized_deephit_gru_meta.pt
standardized_deephit_gru,model,10000,-130500.0,107000.0,2074962.5900242154,3492642.40940867,0.0049,0.0048,0.0001,0.0,0.9951,0.14583333333333334,0.0007,0.6344340885926165,0.34511920078036695,0.28931488781224957,0.5,val,/ocean/projects/cis260122p/shared/artifacts/baseline/standardized_deephit_gru_base_net.pt,/ocean/projects/cis260122p/shared/artifacts/baseline/standardized_deephit_gru_meta.pt
standardized_deephit_gru,training_prior,10000,-10019000.0,9022500.0,6537173.624740282,29078032.83838282,1.0,0.967,0.033,0.0,0.0,0.22471561530506723,0.2173,0.7876046511627908,0.17869767441860465,0.6089069767441859,0.5,val,/ocean/projects/cis260122p/shared/artifacts/baseline/standardized_deephit_gru_base_net.pt,/ocean/projects/cis260122p/shared/artifacts/baseline/standardized_deephit_gru_meta.pt
standardized_deephit_gru,always_limit,10000,-10019000.0,9022500.0,6537173.624740282,29078032.83838282,1.0,0.967,0.033,0.0,0.0,0.22471561530506723,0.2173,0.6344340885926165,0.34511920078036695,inf,0.6,val,/ocean/projects/cis260122p/shared/artifacts/baseline/standardized_deephit_gru_base_net.pt,/ocean/projects/cis260122p/shared/artifacts/baseline/standardized_deephit_gru_meta.pt
standardized_deephit_gru,always_market,10000,10777000.0,-10777000.0,5193387.237632102,5193387.237632102,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-inf,0.6,val,/ocean/projects/cis260122p/shared/artifacts/baseline/standardized_deephit_gru_base_net.pt,/ocean/projects/cis260122p/shared/artifacts/baseline/standardized_deephit_gru_meta.pt
standardized_deephit_gru,model,10000,-26500.0,21500.0,939040.8670553162,1602197.7874157734,0.0011,0.0011,0.0,0.0,0.9989,0.18181818181818182,0.0002,0.6344340885926165,0.34511920078036695,0.28931488781224957,0.6,val,/ocean/projects/cis260122p/shared/artifacts/baseline/standardized_deephit_gru_base_net.pt,/ocean/projects/cis260122p/shared/artifacts/baseline/standardized_deephit_gru_meta.pt
standardized_deephit_gru,training_prior,10000,-10019000.0,9022500.0,6537173.624740282,29078032.83838282,1.0,0.967,0.033,0.0,0.0,0.22471561530506723,0.2173,0.7876046511627908,0.17869767441860465,0.6089069767441859,0.6,val,/ocean/projects/cis260122p/shared/artifacts/baseline/standardized_deephit_gru_base_net.pt,/ocean/projects/cis260122p/shared/artifacts/baseline/standardized_deephit_gru_meta.pt
standardized_deephit_gru_transformer,always_limit,10000,-10019000.0,9022500.0,6537173.624740282,29078032.83838282,1.0,0.967,0.033,0.0,0.0,0.22471561530506723,0.2173,0.693050982427597,0.2869418024229925,inf,0.0,val,/ocean/projects/cis260122p/shared/artifacts/baseline/standardized_deephit_gru_transformer_base_net.pt,/ocean/projects/cis260122p/shared/artifacts/baseline/standardized_deephit_gru_transformer_meta.pt
standardized_deephit_gru_transformer,always_market,10000,10777000.0,-10777000.0,5193387.237632102,5193387.237632102,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-inf,0.0,val,/ocean/projects/cis260122p/shared/artifacts/baseline/standardized_deephit_gru_transformer_base_net.pt,/ocean/projects/cis260122p/shared/artifacts/baseline/standardized_deephit_gru_transformer_meta.pt
standardized_deephit_gru_transformer,model,10000,-10019000.0,9022500.0,6537173.624740282,29078032.83838282,1.0,0.967,0.033,0.0,0.0,0.22471561530506723,0.2173,0.693050982427597,0.2869418024229925,0.40610918000460455,0.0,val,/ocean/projects/cis260122p/shared/artifacts/baseline/standardized_deephit_gru_transformer_base_net.pt,/ocean/projects/cis260122p/shared/artifacts/baseline/standardized_deephit_gru_transformer_meta.pt
standardized_deephit_gru_transformer,training_prior,10000,-10019000.0,9022500.0,6537173.624740282,29078032.83838282,1.0,0.967,0.033,0.0,0.0,0.22471561530506723,0.2173,0.7876046511627908,0.17869767441860465,0.6089069767441859,0.0,val,/ocean/projects/cis260122p/shared/artifacts/baseline/standardized_deephit_gru_transformer_base_net.pt,/ocean/projects/cis260122p/shared/artifacts/baseline/standardized_deephit_gru_transformer_meta.pt
